"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP006 A375 24H-palbociclib-10","118/154",4.1545715728116e-71,1.35069276403678e-66,0,0,21.8480537315995,3540.68099959704,"CCNF;GMNN;HJURP;BUB1B;MKI67;SMC2;CDC20;STMN1;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;TMPO;WDHD1;LIG1;CDC25C;CDC25A;NEIL3;MSH2;CCNE2;TIMELESS;KIF20A;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;BRIP1;CCNB1;RACGAP1;ECT2;PLK4;FANCI;BARD1;CDT1;UBE2C;PLK1;GGH;CDC7;CDC6;NDC80;DHFR;TPX2;KIF18B;KIF4A;CDK1;EZH2;APOBEC3B;TOP2A;GPSM2;FEN1;MCM7;NCAPG2;KIF14;MCM10;KIF11;FOXM1;KIF15;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC2;ELOVL2;CKAP2;KIF23;CIT;CCNA2;ASPM;PSRC1;DBF4;ESPL1;KIFC1;TMSB15A;DEPDC1;BIRC5;MCM4;DTL;MATN2;MCM2;PRIM1;TTK;CENPA;AURKB;AURKA;CDC45;BUB1;E2F8;GINS1;GINS2;RRM2;SPAG5;GINS3;ATAD2;SHCBP1;CENPE;CENPF;RAD51;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;MAD2L1;CDKN3;SPC25",5.08474576271186,6,0.847457627118644,1,46.6101694915254,55
"2","LJP006 HT29 24H-palbociclib-0.37","133/195",1.86167525838092e-69,3.0262462162611e-65,0,0,14.3602463844399,2272.60799932065,"DSCC1;CCNF;GMNN;HJURP;BUB1B;MKI67;SMC2;CDC20;CHEK1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;TMPO;SPINK5;KRT5;WDR76;CDC25A;EREG;NEIL3;MELK;CCNE2;MSH2;RBP1;TIMELESS;DNA2;KIF20A;ASF1B;S100A7;CRABP2;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;SKA1;RAD51AP1;CCNB2;RACGAP1;ECT2;PLK4;BARD1;FANCI;CDT1;UBE2C;PLK1;CDC7;NETO2;CDC6;ESR1;FANCG;NDC80;DHFR;TPX2;KIF18A;AKR1B10;CXCL12;KIF18B;KIF4A;ID1;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;UCHL1;CA2;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RFC2;KIF23;CIT;CCNA2;ASPM;GAL;PSRC1;DBF4;ESPL1;TMSB15A;KIFC1;DEPDC1;BIRC5;MCM4;DTL;MCM2;PRIM1;TTK;CENPA;AURKB;AURKA;CDC45;BUB1;E2F8;GINS1;GINS2;RRM2;SPAG5;ATAD2;DONSON;SHCBP1;NELL2;CENPE;CENPF;RAD51;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;TRIP13;CDKN3;SPC25;MAD2L1",6.76691729323308,9,1.50375939849624,2,50.3759398496241,67
"3","LJP005 A549 24H-dovitinib-10","140/215",4.82576387394444e-69,5.22968031019359e-65,0,0,12.5205557719777,1969.53854315744,"ERCC6L;DSCC1;CCNF;HJURP;BUB1B;MKI67;AQP3;SMC2;CDC20;CHEK1;STMN1;NUSAP1;KNTC1;NEK2;OIP5;FBXO5;GTSE1;TMPO;WDHD1;PDGFRA;CDC25A;NEIL3;MSH2;TIMELESS;DNA2;KIF20A;KIF20B;RPP25;HOXB7;ASF1B;BLM;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;LPL;HMMR;NCAPH;SKA1;C1ORF112;RAD51AP1;CCNB2;BRIP1;ORC6;RACGAP1;ECT2;ELANE;PLK4;FANCI;CDT1;STIL;UBE2C;PLK1;GGH;CDC7;CDC6;NDC80;DHFR;TPX2;POLA2;KIF18A;KIF18B;KIF4A;ID1;CDK2;CDK1;FGFR4;APOBEC3B;TOP2A;ARHGAP11A;FEN1;MCM7;SUV39H1;NCAPG2;KIF14;HBB;MCM10;KIF11;BRCA1;FOXM1;KIF15;UCHL1;CHAF1A;EXO1;PBK;MYBL2;TK1;POLE;CEP55;DLGAP5;RFC3;RFC4;RFC2;KIF23;KIF22;TUBG1;CIT;CCNA2;ASPM;RBL1;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;BIRC5;MCM4;KIF2C;DTL;MCM2;PRIM1;TTK;CENPA;AURKB;AURKA;BUB1;E2F8;GINS1;GINS2;POLQ;RRM2;SPAG5;GINS3;ATAD2;SHCBP1;CENPE;CENPF;RAD51;PRC1;RFWD3;POLE2;TACC3;CENPM;CENPN;NCAPD2;TRIP13;CDKN3;SPC25;MAD2L1",5.71428571428571,8,1.42857142857143,2,44.2857142857143,62
"4","LJP006 BT20 24H-palbociclib-10","120/168",2.30514166566952e-66,1.87356151731454e-62,0,0,16.6650560494782,2518.68114532256,"DSCC1;CCNF;GMNN;HJURP;MKI67;SMC2;CDC20;TUBB3;CHEK1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;TMPO;CDC25A;NEIL3;MELK;MSH2;CCNE2;KIF20A;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;PKMYT1;NCAPH;RAD51AP1;CCNB2;RACGAP1;ECT2;PLK4;FANCI;CDT1;STIL;UBE2C;GADD45A;PLK1;GGH;CDC6;NDC80;DHFR;TPX2;KIF18A;KIF18B;KIF4A;CDK2;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;CDKN1A;MCM7;FAM57A;NCAPG2;KIF14;MCM10;KIF11;FOXM1;KIF15;CA2;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;HELLS;RFC3;MYBPC1;MYOF;CKAP2;KIF23;CIT;CCNA2;ASPM;DBF4;ESPL1;KIFC1;TMSB15A;BIRC5;MCM4;DTL;MCM2;PRIM1;TTK;CENPA;AURKB;ARNTL2;AURKA;CDC45;CTNNAL1;BUB1;E2F8;GINS1;GINS2;NTRK2;RRM2;SPAG5;ATAD2;SHCBP1;CENPE;CENPF;RAD51;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25",5.83333333333333,7,0.833333333333333,1,51.6666666666667,62
"5","LJP006 PC3 24H-NVP-TAE684-10","126/186",2.73893491815629e-65,1.78091026248358e-61,0,0,14.021425803952,2084.43163673339,"DSCC1;CCNF;HJURP;NUDT1;BUB1B;MKI67;SMC2;STMN1;NUSAP1;KNTC1;NEK2;OIP5;FBXO5;GTSE1;TMPO;WDHD1;LIG1;WDR76;NEIL3;MELK;MSH2;MTHFD1;CCNE2;TIMELESS;HOXB7;ASF1B;BLM;RNASEH2A;CDCA3;NCAPG;CDCA8;NCAPH;SKA1;RAD51AP1;ORC6;RACGAP1;ORC1;TSPAN7;PLK4;FANCI;CDT1;STIL;UBE2C;CAV1;PLK1;CDC7;NETO2;CDC6;FANCG;NDC80;DHFR;FOSL1;TPX2;KIF18A;KIF18B;CDK2;CDK1;EZH2;TOP2A;FEN1;MCM7;SUV39H1;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;CHAF1A;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RFC2;KIF23;CCNA2;ASPM;GAL;PSRC1;DBF4;ESPL1;BIRC5;MCM4;DTL;MCM2;PRIM1;TTK;CENPA;AURKB;AURKA;HSPD1;PSMC3IP;CDC45;POLD1;PDSS1;CTNNAL1;BUB1;E2F8;GINS1;GINS2;RRM2;SPAG5;GINS3;GINS4;ATAD2;DONSON;SHCBP1;CENPE;CENPF;RAD51;PRC1;POLE2;RFWD3;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25",6.34920634920635,8,1.58730158730159,2,42.0634920634921,53
"6","LJP006 HS578T 24H-palbociclib-1.11","114/156",7.3655708787058e-65,3.99103458062674e-61,0,0,18.0579031458322,2666.63248860329,"CALML5;DSCC1;CCNF;HJURP;BUB1B;FZD10;MKI67;SMC2;CDC20;STMN1;NUSAP1;KNTC1;NEK2;OIP5;FBXO5;GTSE1;TMPO;LIG1;CDC25A;NEIL3;MELK;CCNE2;TIMELESS;KIF20A;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;ECT2;PLK4;FANCI;BARD1;CDT1;UBE2C;PLK1;GGH;CDC6;FANCG;NDC80;DHFR;TPX2;POLA2;KIF18B;LHX2;KIF4A;CDK2;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;SUV39H1;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC3;RFC4;RFC2;KIF23;CCNA2;ASPM;DBF4;ESPL1;BIRC5;MCM4;DTL;MCM2;PRIM1;TTK;CENPA;AURKB;AURKA;CDC45;POLD1;BUB1;GINS1;GINS2;RRM2;SPAG5;ATAD2;DONSON;MUC5B;SHCBP1;NELL2;CENPF;GATM;RAD51;PRC1;POLE2;TACC3;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25",4.3859649122807,5,0.87719298245614,1,47.3684210526316,54
"7","LJP005 MCF7 24H-mitoxantrone-0.12","109/144",9.07087565300385e-65,4.21290340506869e-61,0,0,20.6875838557132,3050.65239697803,"DSCC1;CCNF;HJURP;MKI67;SMC2;CDC20;SLN;CHEK1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;TMPO;CDC25A;OLFM1;NEIL3;MELK;MTHFD1;TIMELESS;KIF20A;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;RACGAP1;PLK4;FANCI;BARD1;CDT1;UBE2C;MCAM;PLK1;CDC6;FANCG;NDC80;DHFR;TPX2;KIF18B;KIF4A;CDK1;APOBEC3B;TOP2A;FEN1;MCM7;SUV39H1;NCAPG2;MCM10;KIF11;FOXM1;SOBP;KIF15;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;HELLS;RFC3;RFC4;RFC2;KIF23;CCNA2;ASPM;GAL;DBF4;DDAH1;ESPL1;KIFC1;BIRC5;GAS1;MCM4;CHI3L1;DTL;MCM2;PRIM1;TTK;CENPA;AURKB;AURKA;CDC45;BUB1;CA12;GINS1;GINS2;RRM2;SPAG5;ATAD2;SHCBP1;CENPF;RAD51;PRC1;POLE2;FABP7;TACC3;CENPN;NCAPD3;TRIP13;MAD2L1;CDKN3;SPC25",3.6697247706422,4,0,0,50.4587155963303,55
"8","LJP005 A549 24H-torin-2-1.11","133/207",1.51358164604818e-64,6.15100661183404e-61,0,0,12.0231787731788,1766.81774903699,"DSCC1;CSE1L;GMNN;NUDT1;HJURP;BUB1B;C4BPA;MKI67;SMC2;CDC20;CHEK1;NUSAP1;NEK2;OIP5;FBXO5;PTGDS;GTSE1;TMPO;WDHD1;KRT4;LIG1;KRT5;CDC25A;NEIL3;PCP4;MELK;TIMELESS;PKP1;DNA2;KIF20A;ASF1B;S100A7;CPB2;RNASEH2A;CDCA3;NCAPG;CDCA8;HMMR;NCAPH;SKA1;C1ORF112;RAD51AP1;CCNB2;ORC6;RACGAP1;PI3;ECT2;PLK4;BARD1;FANCI;STIL;UBE2C;MCAM;PLK1;CDC7;CDC6;NDC80;DHFR;TPX2;POLA2;KIF18B;KIF4A;ID1;CDK2;CDK1;SPRR1A;TOP2A;FEN1;SUV39H1;NCAPG2;KIF14;HBB;MCM10;KIF11;BRCA1;FOXM1;KIF15;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;GPX2;RFC3;RFC4;KIF23;TUBG1;CIT;CCNA2;ASPM;DBF4;ESPL1;CEACAM5;DEPDC1;BIRC5;MCM4;DTL;MCM2;CSTA;PRIM1;TTK;CENPA;AURKB;AURKA;CDC45;RAD54L;BUB1;E2F8;GINS1;GINS2;RRM2;SPAG5;GINS3;ATAD2;GINS4;KRT13;SHCBP1;CENPE;CENPF;RAD51;WT1;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD3;TRIP13;CDKN3;SPC25;MAD2L1",2.25563909774436,3,0.75187969924812,1,48.8721804511278,65
"9","LJP005 A375 24H-dovitinib-10","123/180",1.97223820648569e-64,7.1243818145618e-61,0,0,14.3937591657161,2111.36694273462,"CSE1L;DSCC1;HJURP;BUB1B;MKI67;SMC2;CDC20;CHEK1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;PTGDS;GTSE1;TMPO;CDC25A;NEIL3;MELK;CCNE2;TIMELESS;KIF20A;ASF1B;RNASEH2A;CDCA3;TROAP;LPAR1;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;ECT2;PLK4;FANCI;CDT1;UBE2C;FZD7;PLK1;GGH;CDC6;FANCG;NDC80;DHFR;TPX2;CXCL12;KIF18B;KIF4A;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;SUV39H1;NCAPG2;FHL1;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;RFC3;RFC4;RFC2;CKAP2;KIF23;CIT;CCNA2;ASPM;GAL;DBF4;KIFC1;COL6A2;DEPDC1;BIRC5;MCM4;DTL;MCM2;ADH1B;PRIM1;AKAP7;TTK;CENPA;AURKB;AURKA;CDC45;MSX1;BUB1;E2F8;GINS1;GINS2;RRM2;SPAG5;ATAD2;DONSON;AKR1C3;SHCBP1;CENPE;CENPF;RAD51;FABP5;PRC1;RFWD3;FABP7;TACC3;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25",6.50406504065041,8,0.813008130081301,1,48.780487804878,60
"10","LJP006 HME1 24H-palbociclib-3.33","124/183",2.76837998015716e-64,9.00028015348895e-61,0,0,14.0226907353819,2052.18129627906,"DSCC1;CCNF;GMNN;HJURP;NUDT1;BUB1B;MKI67;SMC2;CDC20;RPS6KA5;STMN1;NUSAP1;KNTC1;NEK2;OIP5;FBXO5;GTSE1;TMPO;LIG1;CDC25C;CDC25A;NEIL3;MELK;CCNE2;TIMELESS;KIF20A;KIF20B;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;MYH11;ECT2;PLK4;FANCI;BARD1;CDT1;UBE2C;PLK1;CDC7;CDC6;FANCG;NDC80;DHFR;TPX2;KIF18A;KIF18B;KIF4A;CDK2;CDK1;EZH2;APOBEC3B;TOP2A;GPSM2;FEN1;MCM7;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;CKAP2;KIF23;KIF22;CIT;CCNA2;ASPM;PSRC1;DBF4;ESPL1;KIFC1;TMSB15A;DEPDC1;BIRC5;MCM4;DTL;MCM2;PRIM1;TTK;CENPA;AURKB;AURKA;CDC45;BUB1;E2F8;GINS1;GINS2;NTRK2;RRM2;SPAG5;ATAD2;SHCBP1;CENPE;CENPF;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25",4.03225806451613,5,0.806451612903226,1,46.7741935483871,58
"11","LJP006 A549 24H-palbociclib-10","106/138",3.78583772268689e-64,1.11892154729339e-60,0,0,21.9827229911572,3210.22889897104,"DSCC1;CCNF;HJURP;MKI67;SMC2;CDC20;STMN1;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;TMPO;LIG1;IL1R2;CDC25A;NEIL3;MELK;DNA2;KIF20A;HIST1H2BG;ASF1B;CDCA3;NCAPG;CDCA8;TWIST1;HMMR;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;ECT2;HOXC6;PLK4;FANCI;CDT1;UBE2C;CDC7;CDC6;ESR1;NDC80;DHFR;TPX2;KIF18B;KIF4A;CDK2;CDK1;EZH2;TOP2A;FEN1;MCM7;CRISP3;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;HOXC10;KIF15;EXO1;PBK;MYBL2;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RFC2;KIF23;CCNA2;ASPM;GAL;DBF4;ESPL1;TMSB15A;DEPDC1;BIRC5;MCM4;DTL;SLC47A1;PRIM1;TTK;CENPA;AURKB;AURKA;BUB1;E2F8;GINS2;RRM2;SPAG5;ATAD2;SHCBP1;CENPE;CENPF;RAD51;PRC1;POLE2;TACC3;CENPN;TAF5;MAD2L1;CDKN3;SPC25",6.60377358490566,7,0.943396226415094,1,50.9433962264151,54
"12","LJP006 HME1 24H-palbociclib-10","135/215",1.14172009703436e-63,3.09320517289035e-60,0,0,11.2935215785381,1636.77375137562,"DSCC1;CCNF;HJURP;BUB1B;MKI67;SMC2;CDC20;STMN1;NUSAP1;KNTC1;NEK2;OIP5;FBXO5;GTSE1;TMPO;BORA;LIG1;CDC25C;CDC25A;OLFM1;NEIL3;MELK;CCNE2;MSH2;TIMELESS;DNA2;KIF20A;KIF20B;ASF1B;BLM;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;SKA1;C1ORF112;PLAC8;RAD51AP1;CCNB2;CCNB1;RACGAP1;ECT2;PLK4;BARD1;FANCI;CDT1;RBPMS;UBE2C;MCAM;PLK1;GGH;CDC7;CDC6;FANCG;NDC80;DHFR;TPX2;POLA2;KIF18A;KIF18B;KIF4A;CDK2;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;SUV39H1;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;RFC3;RFC4;CKAP2;KIF23;KIF22;CIT;CCNA2;ASPM;CEACAM1;GAL;PSRC1;DBF4;ESPL1;KIFC1;DEPDC1;BIRC5;MCM4;DTL;MCM2;PRIM1;TTK;CENPA;AURKB;AURKA;CDC45;NPY;BUB1;E2F8;GINS1;GINS2;GABRP;RRM2;SPAG5;ATAD2;DONSON;SHCBP1;CENPE;CENPF;RAD51;PRC1;POLE2;TACC3;CENPM;CENPN;NCAPD2;TRIP13;CDKN3;SPC25;MAD2L1",5.18518518518519,7,1.48148148148148,2,45.1851851851852,61
"13","LJP006 HCC515 24H-palbociclib-1.11","106/139",1.38811153594954e-63,3.47145339578888e-60,0,0,21.3153449139608,3085.07466932733,"DSCC1;CCNF;HJURP;BUB1B;MKI67;SMC2;CDC20;STMN1;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;TMPO;LIG1;NEIL3;MELK;CCNE2;TIMELESS;KIF20A;HOXB7;ASF1B;RNASEH2A;CDCA3;TROAP;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;RACGAP1;ECT2;PLK4;FANCI;BARD1;CDT1;STIL;PLK1;CDC6;NDC80;DHFR;TPX2;KIF18B;KIF4A;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;CDKN1A;SUV39H1;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;RFC3;RFC4;RFC2;KIF23;CCNA2;ASPM;PSRC1;DBF4;ESPL1;DEPDC1;BIRC5;MCM4;KIF2C;DTL;TTK;CENPA;AURKB;AURKA;CDC45;EPCAM;BUB1;E2F8;GINS1;GINS2;RRM2;SPAG5;ATAD2;SHCBP1;CENPE;CENPF;RAD51;PRC1;POLE2;TACC3;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25",6.60377358490566,7,0.943396226415094,1,50.9433962264151,54
"14","LJP005 A375 24H-dovitinib-1.11","120/175",3.80983670190483e-63,8.84725721540199e-60,0,0,14.5381452718136,2089.49892036002,"CSE1L;DSCC1;HJURP;BUB1B;MKI67;SMC2;CDC20;CHEK1;STMN1;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;TMPO;WDHD1;CDC25A;NEIL3;MELK;CCNE2;TIMELESS;KIF20A;ASF1B;RNASEH2A;CDCA3;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;ECT2;PLK4;FANCI;CDT1;UBE2C;PLK1;CDC6;FANCG;NDC80;DHFR;TPX2;POLA2;KIF18B;KIF4A;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;CHAF1A;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;RFC3;RFC4;GPX3;RFC2;PGAM1;CKAP2;KIF23;CIT;CCNA2;ASPM;GAL;DBF4;ESPL1;VSNL1;KIFC1;COL6A2;DEPDC1;BIRC5;MCM4;DTL;MCM2;PRIM1;TTK;CENPA;AURKB;AURKA;BUB1;E2F8;CA12;GINS1;GINS2;RRM2;SPAG5;GINS3;ATAD2;DONSON;SHCBP1;CENPE;CENPF;RAD51;FABP5;PRC1;POLE2;FABP7;TACC3;CENPM;CENPN;NCAPD2;TRIP13;MAD2L1;CDKN3;SPC25",5,6,0.833333333333333,1,50,60
"15","LJP006 MDAMB231 24H-palbociclib-1.11","110/151",2.25364073752433e-62,4.88454093451024e-59,0,0,17.8228161950468,2529.9082788436,"DSCC1;CCNF;GMNN;HJURP;FZD10;MKI67;SMC2;CDC20;CHEK1;STMN1;NUSAP1;KNTC1;NEK2;OIP5;FBXO5;GTSE1;TMPO;BORA;NEIL3;MELK;CCNE2;DNA2;KIF20A;ASF1B;GRIA2;RNASEH2A;CDCA3;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;CCNB1;RACGAP1;PLK4;FANCI;UBE2C;PLK1;CDC7;CDC6;NDC80;DHFR;TPX2;KIF18B;KIF4A;CDK1;EZH2;APOBEC3B;TOP2A;ECM1;FEN1;CDKN1A;MCM7;NCAPG2;KRT23;MCM10;KIF11;BRCA1;FOXM1;KIF15;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC3;RFC4;CKAP2;KIF23;CCNA2;ASPM;PSRC1;DBF4;KIFC1;TMSB15A;ELF5;DEPDC1;BIRC5;MCM4;DTL;MCM2;PRIM1;TTK;CENPA;AURKB;AURKA;CDC45;BUB1;E2F8;GINS1;GINS2;RRM2;SPAG5;ATAD2;DONSON;SHCBP1;NELL2;CENPE;CENPF;PRC1;POLE2;TACC3;CENPM;CENPN;TRIP13;MAD2L1;CDKN3;SPC25",5.45454545454545,6,0.909090909090909,1,50,55
"16","LJP006 LNCAP 24H-GDC-0941-1.11","124/189",8.54359310306101e-62,1.7360047210851e-58,0,0,12.7238571726377,1789.16637375041,"DSCC1;HJURP;DEFB1;MKI67;AQP3;SMC2;CDC20;CHEK1;STMN1;COTL1;NUSAP1;NEK2;OIP5;GTSE1;TMPO;LIG1;CDC25A;NEIL3;MELK;CCNE2;TIMELESS;KIF20A;HOXB7;ASF1B;BLM;RNASEH2A;CDCA3;NCAPG;CDCA8;HMMR;NCAPH;RAD51AP1;CCNB2;ORC6;RACGAP1;ECT2;PLK4;FANCI;CDT1;UBE2C;PLK1;CDC6;LSM4;FANCG;NDC80;DHFR;TPX2;POLA2;KIF18B;AKR1B10;KIF4A;ID1;CDK2;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;SUV39H1;NCAPG2;MCM10;KIF11;BRCA1;FOXM1;SERPINA6;KIF15;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;RFC3;RFC4;RFC2;MYOF;KIF23;TUBG1;CIT;CCNA2;ASPM;DBF4;ESPL1;BIRC5;MCM4;DTL;MCM2;CSTA;PRIM1;TTK;CENPA;AURKB;PSMC3IP;CDC45;EXOSC8;BUB1;GINS1;GINS2;RRM2;SPAG5;GINS3;GINS4;ATAD2;DONSON;AKR1C3;KCNJ16;AKR1C2;SHCBP1;CENPE;CENPF;KRT19;RAD51;FABP5;PRC1;POLE2;RFWD3;TACC3;CENPM;TRIP13;MAD2L1;CDKN3;SPC25",5.64516129032258,7,0.806451612903226,1,50,62
"17","LJP005 A549 24H-NVP-BEZ235-10","121/181",1.01428750453292e-61,1.93973535646294e-58,0,0,13.4389855632895,1887.41822637745,"DSCC1;HJURP;NUDT1;CALML3;C4BPA;MKI67;SMC2;CDC20;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;TMPO;TPD52;WDHD1;LIG1;KRT5;CDC25A;NEIL3;MELK;TIMELESS;KIF20A;ASF1B;BLM;RNASEH2A;CDCA3;NCAPG;CDCA8;HMMR;NCAPH;PLAC8;RAD51AP1;CCNB2;ORC6;RACGAP1;ECT2;PLK4;FANCI;GSTM3;XBP1;STIL;UBE2C;MCAM;PLK1;CDC7;CDC6;NDC80;DHFR;TPX2;POLA2;KIF18B;KIF4A;CDK2;CDK1;FGFR4;EZH2;TOP2A;FEN1;NCAPG2;KIF14;MCM10;KIF11;BRCA1;FOXM1;KIF15;CHAF1A;CA2;EXO1;ANXA6;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;HELLS;GPX2;RFC3;RFC4;RFC2;KIF23;TUBG1;CIT;CCNA2;ASPM;CEACAM1;DBF4;ESPL1;KIFC1;BIRC5;MCM4;DTL;TTK;CENPA;AURKB;AURKA;PSMC3IP;BUB1;E2F8;GINS1;GINS2;RRM2;SPAG5;GINS3;GINS4;ATAD2;DONSON;SHCBP1;CENPF;RAD51;FABP5;PRC1;POLE2;TACC3;CENPN;NCAPD3;TRIP13;MAD2L1;CDKN3;SPC25",6.61157024793388,8,0.826446280991736,1,47.9338842975207,58
"18","LJP006 LNCAP 24H-JW-7-24-1-3.33","120/179",1.99043849375409e-61,3.59506365946885e-58,0,0,13.549363505926,1893.78553651054,"DSCC1;GMNN;HJURP;NUDT1;BUB1B;MKI67;AQP3;SMC2;CDC20;CHEK1;STMN1;NUSAP1;NEK2;OIP5;GTSE1;TMPO;LIG1;DIO1;CDC25C;CDC25A;AZGP1;NEIL3;MELK;MSH2;CCNE2;TIMELESS;KIF20A;ASF1B;BLM;RNASEH2A;CDCA3;NCAPG;LPL;CDCA8;HMMR;PKMYT1;NCAPH;RAD51AP1;CCNB2;ORC6;RACGAP1;ECT2;HOXC6;PLK4;FANCI;CDT1;UBE2C;PLK1;CDC6;FANCG;NDC80;DHFR;TPX2;POLA2;CXCL12;KIF18B;AKR1B10;KIF4A;CDK2;CDK1;EZH2;APOBEC3B;TOP2A;FEN1;MCM7;NCAPG2;MCM10;KIF11;BRCA1;FOXM1;KIF15;EXO1;PBK;MYBL2;TK1;CEP55;DLGAP5;RFC5;HELLS;RFC3;RFC4;RFC2;KIF23;CIT;CCNA2;ASPM;ESPL1;DEPDC1;BIRC5;MCM4;DTL;MCM2;PRIM1;UGT2B28;TTK;CENPA;AURKB;CDC45;BUB1;GINS1;GINS2;RRM2;SPAG5;GINS4;ATAD2;DONSON;AKR1C3;AKR1C2;SHCBP1;CENPF;RAD51;PRC1;POLE2;RFWD3;FABP7;TACC3;TRIP13;MAD2L1;CDKN3;SPC25",7.5,9,1.66666666666667,2,49.1666666666667,59
