"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HCC515 24H-A443654-0.12","1/88",0.0174853425891337,0.0378166400094538,0,0,76.27969348659,308.657565540823,"TKTL1"
"LJP008 HEPG2 24H-mitoxantrone-10","1/89",0.0176827130771262,0.0378166400094538,0,0,75.4090909090909,304.288333876803,"TKTL1"
"LJP006 SKBR3 3H-BI-2536-3.33","1/89",0.0176827130771262,0.0378166400094538,0,0,75.4090909090909,304.288333876803,"TKTL1"
"LJP006 HEPG2 24H-BI-2536-10","1/91",0.0180773648602117,0.0378166400094538,0,0,73.7259259259259,295.869121371115,"TKTL1"
"LJP006 MCF7 24H-mitoxantrone-0.37","1/91",0.0180773648602117,0.0378166400094538,0,0,73.7259259259259,295.869121371115,"TKTL1"
"LJP007 HEPG2 24H-dinaciclib-3.33","1/92",0.0182746461577158,0.0378166400094538,0,0,72.9120879120879,291.811721070286,"TKTL1"
"LJP005 HS578T 24H-WZ-3105-3.33","1/94",0.0186691195905268,0.0378166400094538,0,0,71.336917562724,283.984027898932,"TKTL1"
"LJP008 HCC515 24H-MK-1775-3.33","1/96",0.0190634741527162,0.0378166400094538,0,0,69.8280701754386,276.51783973817,"TKTL1"
"LJP006 HEPG2 24H-A443654-1.11","1/96",0.0190634741527162,0.0378166400094538,0,0,69.8280701754386,276.51783973817,"TKTL1"
"LJP005 MCF7 24H-TG-101348-10","1/97",0.0192606068636,0.0378166400094538,0,0,69.0972222222222,272.912840088512,"TKTL1"
"LJP006 MCF7 24H-XMD-1150-10","1/97",0.0192606068636,0.0378166400094538,0,0,69.0972222222222,272.912840088512,"TKTL1"
"LJP008 HCC515 24H-AZ20-10","1/98",0.0194577098682638,0.0378166400094538,0,0,68.3814432989691,269.389509150875,"TKTL1"
"LJP009 A549 24H-CGP-60474-1.11","1/99",0.0196547831658259,0.0378166400094538,0,0,67.6802721088435,265.945199725438,"TKTL1"
"LJP007 HEPG2 24H-dinaciclib-0.12","1/99",0.0196547831658259,0.0378166400094538,0,0,67.6802721088435,265.945199725438,"TKTL1"
"LJP006 SKBR3 24H-XMD-1150-10","1/99",0.0196547831658259,0.0378166400094538,0,0,67.6802721088435,265.945199725438,"TKTL1"
"LJP008 HA1E 24H-AZ20-10","1/100",0.0198518267597581,0.0378166400094538,0,0,66.993265993266,262.57737594325,"TKTL1"
"LJP006 HCC515 24H-celastrol-10","1/100",0.0198518267597581,0.0378166400094538,0,0,66.993265993266,262.57737594325,"TKTL1"
"CPC014 SKB 24H-BRD-U00779237-10.0","1/101",0.0200488406552824,0.0378166400094538,0,0,66.32,259.283607536181,"MECP2"
"LJP009 A549 24H-mitoxantrone-10","1/102",0.0202458248516149,0.0378166400094538,0,0,65.6600660066007,256.061564471869,"TKTL1"
"LJP006 MCF10A 3H-JW-7-24-1-10","1/103",0.0204427793556974,0.0378166400094538,0,0,65.0130718954248,252.909011842323,"TKTL1"
"LJP008 A549 24H-CGP-60474-0.37","1/106",0.021033464727282,0.0378166400094538,0,0,63.1460317460317,243.847276836808,"TKTL1"
"LJP009 MCF7 24H-PF-3758309-0.37","1/106",0.021033464727282,0.0378166400094538,0,0,63.1460317460317,243.847276836808,"TKTL1"
"LJP009 A549 24H-CGP-60474-0.37","1/107",0.021230300482516,0.0378166400094538,0,0,62.5471698113208,240.952079089247,"TKTL1"
"LJP008 HCC515 24H-AZ20-3.33","1/108",0.0214271065608529,0.0378166400094538,0,0,61.9595015576324,238.116467296843,"TKTL1"
"LJP006 MCF7 24H-BI-2536-3.33","1/109",0.0216238829599906,0.0378166400094538,0,0,61.3827160493827,235.338686665774,"TKTL1"
"LJP006 SKBR3 24H-mitoxantrone-10","1/109",0.0216238829599906,0.0378166400094538,0,0,61.3827160493827,235.338686665774,"TKTL1"
"LJP005 HCC515 24H-mitoxantrone-0.12","1/110",0.0218206296854733,0.0378166400094538,0,0,60.8165137614679,232.617049478511,"TKTL1"
"LJP005 HS578T 24H-CGP-60474-0.12","1/111",0.0220173467371517,0.0378166400094538,0,0,60.2606060606061,229.949931986046,"TKTL1"
"LJP006 HCC515 24H-mitoxantrone-0.12","1/111",0.0220173467371517,0.0378166400094538,0,0,60.2606060606061,229.949931986046,"TKTL1"
"LJP006 BT20 24H-BI-2536-3.33","1/112",0.0222140341244091,0.0378166400094538,0,0,59.7147147147147,227.335771393074,"TKTL1"
"LJP006 A549 24H-mitoxantrone-0.37","1/112",0.0222140341244091,0.0378166400094538,0,0,59.7147147147147,227.335771393074,"TKTL1"
"LJP005 HEPG2 24H-XMD16-144-10","1/112",0.0222140341244091,0.0378166400094538,0,0,59.7147147147147,227.335771393074,"TKTL1"
"LJP006 HME1 24H-CGP-60474-10","1/112",0.0222140341244091,0.0378166400094538,0,0,59.7147147147147,227.335771393074,"TKTL1"
"LJP006 A549 24H-BI-2536-10","1/114",0.0226073199078965,0.0378166400094538,0,0,58.6519174041298,222.260358019631,"TKTL1"
"LJP009 MCF7 24H-GSK-1059615-10","1/114",0.0226073199078965,0.0378166400094538,0,0,58.6519174041298,222.260358019631,"TKTL1"
"LJP009 A549 24H-CGP-60474-0.12","1/114",0.0226073199078965,0.0378166400094538,0,0,58.6519174041298,222.260358019631,"TKTL1"
"LJP007 PC3 24H-mitoxantrone-10","1/115",0.0228039183067143,0.0378166400094538,0,0,58.1345029239766,219.796260064703,"TKTL1"
"LJP008 PC3 24H-(+)-JQ1-10","1/116",0.0230004870518634,0.0378166400094538,0,0,57.6260869565217,217.379423755416,"TKTL1"
"LJP007 MCF7 24H-dinaciclib-0.37","1/116",0.0230004870518634,0.0378166400094538,0,0,57.6260869565217,217.379423755416,"TKTL1"
"LJP007 MCF7 24H-dinaciclib-1.11","1/117",0.0231970261426862,0.0378166400094538,0,0,57.1264367816092,215.008552004529,"TKTL1"
"LJP009 MCF7 24H-PF-3758309-3.33","1/117",0.0231970261426862,0.0378166400094538,0,0,57.1264367816092,215.008552004529,"TKTL1"
"LJP006 HA1E 24H-XMD-1150-10","1/117",0.0231970261426862,0.0378166400094538,0,0,57.1264367816092,215.008552004529,"TKTL1"
"LJP007 HEPG2 24H-OTSSP167-3.33","1/117",0.0231970261426862,0.0378166400094538,0,0,57.1264367816092,215.008552004529,"TKTL1"
"LJP008 HA1E 24H-(+)-JQ1-3.33","1/119",0.023590015375656,0.0378166400094538,0,0,56.1525423728814,210.399742949136,"TKTL1"
"LJP006 A549 24H-mitoxantrone-1.11","1/119",0.023590015375656,0.0378166400094538,0,0,56.1525423728814,210.399742949136,"TKTL1"
"LJP007 MCF7 24H-dinaciclib-3.33","1/121",0.0239828860314879,0.0378166400094538,0,0,55.2111111111111,205.96034518624,"TKTL1"
"LJP006 HCC515 24H-mitoxantrone-0.37","1/121",0.0239828860314879,0.0378166400094538,0,0,55.2111111111111,205.96034518624,"TKTL1"
"LJP006 SKBR3 24H-mitoxantrone-3.33","1/121",0.0239828860314879,0.0378166400094538,0,0,55.2111111111111,205.96034518624,"TKTL1"
"LJP006 HT29 24H-BMS-387032-10","1/122",0.0241792768997073,0.0378166400094538,0,0,54.7520661157025,203.801389436101,"TKTL1"
"LJP006 MCF7 24H-mitoxantrone-3.33","1/122",0.0241792768997073,0.0378166400094538,0,0,54.7520661157025,203.801389436101,"TKTL1"
"LJP006 MCF7 24H-mitoxantrone-1.11","1/123",0.0243756381306298,0.0378166400094538,0,0,54.3005464480874,201.681519393531,"TKTL1"
"LJP005 HCC515 24H-mitoxantrone-0.37","1/123",0.0243756381306298,0.0378166400094538,0,0,54.3005464480874,201.681519393531,"TKTL1"
"LJP006 SKBR3 24H-BI-2536-10","1/123",0.0243756381306298,0.0378166400094538,0,0,54.3005464480874,201.681519393531,"TKTL1"
"LJP005 BT20 24H-XMD16-144-10","1/124",0.024571969733762,0.0378166400094538,0,0,53.8563685636856,199.599722586936,"TKTL1"
"LJP006 SKBR3 24H-mitoxantrone-1.11","1/124",0.024571969733762,0.0378166400094538,0,0,53.8563685636856,199.599722586936,"TKTL1"
"LJP006 HME1 24H-mitoxantrone-1.11","1/125",0.0247682717047499,0.0378166400094538,0,0,53.4193548387097,197.555020647793,"TKTL1"
